objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dungeons of Doria","270851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117150654","5.62141","8.44668","3.4286","8339","393","thing","Dungeons of Doria","1","6","240","240","120","2023","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Earth","350184","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110593273","7.35588","7.62235","2.9092","208","33979","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfenland","10","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713500","6.41903","6.67326","2.1485","1518","11947","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape from New York","362723","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127397794","5.72865","7.35796","2.5714","5715","1386","thing","Escape from New York","1","4","90","90","40","2024","1,2,3,4","3","12","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eschaton","206299","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131503013","5.8","7.19752","2.68","4767","1196","thing","Eschaton","2","6","180","180","60","2016","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","64643614","7.81183","7.98608","2.8334","42","103535","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Expanse Board Game","220792","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50654757","6.22474","7.16541","2.8182","2121","3226","thing","The Expanse Board Game","2","4","60","60","60","2017","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Expeditions","379078","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112595986","7.10172","7.63083","3.0627","385","15812","thing","Expeditions","1","5","90","90","60","2023","1,2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout","232918","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","48972724","6.49516","6.91457","3.0135","1331","19767","thing","Fallout","1","4","180","180","120","2017","1,2,3","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game","138161","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","28019135","6.98369","7.38014","2.9542","517","23924","thing","Firefly: The Game","1","4","240","240","120","2013","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: The Game – Pirates & Bounty Hunters","151953","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28019138","6.44352","7.77133","2.8","0","7836","thing","Firefly: The Game – Pirates & Bounty Hunters","2","6","120","120","120","2014","1,2,3,4,5,6","3,4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Flotsam Fight","256478","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61464456","5.71586","6.55205","1.2","5935","1522","thing","Flotsam Fight","2","6","30","30","30","2018","3,4,5,6","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Frag","2025","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877954","5.54244","5.6615","1.7578","14150","3404","thing","Frag","2","6","30","30","30","2001","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Frosthaven","295770","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","103952215","7.97303","8.7505","4.4168","20","24145","thing","Frosthaven","1","4","180","180","90","2022","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gangsters: The Game of Disorganized Crime","3926","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546434","5.50749","5.754","1","23222","180","thing","Gangsters: The Game of Disorganized Crime","2","6","90","90","90","1984","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","8","16","0","1","0","0","0","0","0","0","0","3","","","","","","46999851","8.30283","8.54372","3.9172","4","103978","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","80971843","8.10177","8.36642","3.6357","12","87734","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Grass","427","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","12834305","5.6432","6.02459","1.5439","7618","2309","thing","Grass","2","6","60","60","60","1980","3,4,5,6","4,5","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hand of Fate: Ordeals","216381","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","59027068","5.88248","7.18818","3.0385","3972","1993","thing","Hand of Fate: Ordeals","1","4","120","120","30","2018","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Heat: Pedal to the Metal","366013","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","102506732","7.79487","8.00126","2.1987","47","58713","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Here I Stand: 500th Anniversary Edition","242722","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122530573","6.54306","8.44857","4.5854","1209","3318","thing","Here I Stand: 500th Anniversary Edition","2","6","360","360","180","2017","2,3,5,6","6","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hero Realms","198994","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","41304657","7.19828","7.4957","1.8412","303","34178","thing","Hero Realms","2","4","20","20","20","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hero Realms: Character Pack – Cleric","202103","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304666","6.4273","7.65685","1.8182","0","10464","thing","Hero Realms: Character Pack – Cleric","2","4","20","0","20","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Hero Realms: Character Pack – Fighter","202104","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304668","6.43014","7.6865","1.8571","0","10398","thing","Hero Realms: Character Pack – Fighter","2","4","20","0","20","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Hero Realms: Character Pack – Ranger","202105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304671","6.42782","7.6772","1.8947","0","10336","thing","Hero Realms: Character Pack – Ranger","2","4","20","0","20","2016","2,3,4","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Hero Realms: Character Pack – Thief","202106","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304675","6.4295","7.69745","1.8636","0","10320","thing","Hero Realms: Character Pack – Thief","2","4","20","0","20","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Hero Realms: Character Pack – Wizard","202107","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304677","6.4314","7.66889","1.9","0","10440","thing","Hero Realms: Character Pack – Wizard","2","4","20","0","20","2016","2,3,4","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Hills Rise Wild!","799","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546418","5.57993","6.4326","2.4483","10477","638","thing","The Hills Rise Wild!","2","4","180","180","180","2000","1,2,3,4","2,4","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Illuminati","28","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","4713506","6.0949","6.46253","2.6575","2658","9943","thing","Illuminati","2","6","180","180","60","1987","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperium: Empires in Conflict – Worlds in the Balance","3661","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546440","5.76264","6.90143","2.6081","5217","1547","thing","Imperium: Empires in Conflict – Worlds in the Balance","2","2","300","300","180","1977","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Infinity Deathmatch: TAG Raid","340239","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118997311","0","8.26087","3","0","101","thing","Infinity Deathmatch: TAG Raid","2","4","90","90","60","2022","1,2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Infinity Defiance","285853","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81445773","5.61495","8.06678","4","8603","518","thing","Infinity Defiance","1","4","60","60","45","2020","2,3,4","2,4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Intarsia","422126","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130953564","6.0491","7.10295","2.0303","2895","2994","thing","Intarsia","2","4","60","60","40","2024","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Junta","242","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713457","6.29799","6.6879","2.8577","1849","10093","thing","Junta","2","7","240","240","240","1979","5,6,7","7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kill Doctor Lucky","257","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860287","5.94483","6.15625","1.6417","3498","13378","thing","Kill Doctor Lucky","3","8","45","45","45","1996","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304721","7.01","7.11558","1.4838","483","111223","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Legacy of Dragonholt","234669","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","54626223","6.45914","7.18752","1.2844","1408","7690","thing","Legacy of Dragonholt","1","6","999","999","60","2017","1,2,3","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legends of Andor","127398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304688","6.85763","7.08425","2.7685","667","37321","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legends of Andor: The Star Shield","136986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304699","6.36269","7.7207","2.8704","0","8633","thing","Legends of Andor: The Star Shield","2","4","90","90","60","2013","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lisboa","161533","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","112365080","7.70891","8.16992","4.5703","68","18827","thing","Lisboa","1","4","120","120","60","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Locke & Key: The Game","110868","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972707","5.6048","6.25416","1.7241","9052","1134","thing","Locke & Key: The Game","3","6","30","30","30","2012","3,4,5,6","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth","269385","9","12","0","1","0","0","0","0","0","0","0","3","","","","","","59995073","7.48373","7.89353","2.6974","142","33262","thing","The Lord of the Rings: Journeys in Middle-Earth","1","5","120","120","60","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lord of the Rings: The Confrontation","3201","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546465","6.77407","7.22124","2.15","793","8797","thing","Lord of the Rings: The Confrontation","2","2","30","30","30","2002","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713480","7.15148","7.25775","1.4753","342","75565","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lost Expedition","216459","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","50654765","6.64386","7.03092","1.8712","1013","14547","thing","The Lost Expedition","1","5","50","50","30","2017","1,2,3","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","80778917","7.91442","8.08222","2.9325","30","84689","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304743","7.12305","7.22666","1.1848","365","117274","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mag·Blast","944","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546495","5.55721","5.95691","1.5789","12352","507","thing","Mag·Blast","2","6","60","60","60","1998","2,3,4,5,6","4,5","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game","96848","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","17874111","7.83696","8.08057","4.3753","40","47826","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness","83330","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","12834192","6.90571","7.25151","3.2427","609","20486","thing","Mansions of Madness","2","5","180","180","120","2011","2,3,4,5","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304713","7.6815","7.91836","2.6969","74","65273","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game","285774","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","67110745","7.78847","8.10617","2.9537","48","47372","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Maximum Apocalypse","188547","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51021007","6.45817","7.47211","2.1358","1410","5226","thing","Maximum Apocalypse","1","6","90","90","45","2018","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Maximum Apocalypse: Kaiju Rising","244838","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51021011","5.69258","7.625","2","0","2179","thing","Maximum Apocalypse: Kaiju Rising","1","6","60","60","30","2018","4,6","6","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mechs vs. Minions","209010","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972790","7.62787","7.95294","2.4586","87","25098","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Memoir '44","10630","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860263","7.33196","7.53222","2.2734","218","43147","thing","Memoir '44","2","4","45","45","30","2004","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Memoir '44: Air Pack","31638","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860266","6.18253","7.52414","2.451","0","3670","thing","Memoir '44: Air Pack","2","2","60","60","60","2007","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Memoir '44: Eastern Front","19245","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860264","6.88186","7.99016","2.1694","0","10133","thing","Memoir '44: Eastern Front","2","8","60","60","30","2005","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Memoir '44: Mediterranean Theater","38320","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860272","6.4624","7.9196","2.1667","0","6859","thing","Memoir '44: Mediterranean Theater","2","2","60","60","30","2008","2","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Memoir '44: Pacific Theater","21384","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860267","6.64312","7.93064","2.1928","0","7726","thing","Memoir '44: Pacific Theater","2","8","60","60","30","2006","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Memoir '44: Terrain Pack","19244","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860345","6.50232","7.56909","2.1317","0","8569","thing","Memoir '44: Terrain Pack","2","2","60","60","30","2005","2","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Memoir '44: Winter/Desert Board Map","19374","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860268","6.37865","7.47756","1.9268","0","7370","thing","Memoir '44: Winter/Desert Board Map","2","8","60","60","30","2005","2","2","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Mind MGMT: The Psychic Espionage “Game.”","284653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99944277","7.17943","7.79664","2.9216","318","16115","thing","Mind MGMT: The Psychic Espionage “Game.”","1","5","60","60","60","2021","1,2,3,4,5","2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly","1406","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","1172607","4.29242","4.36694","1.6202","30233","59263","thing","Monopoly","2","8","180","180","60","1935","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly Deal Card Game","40398","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","12834299","6.09427","6.32357","1.3145","2660","27979","thing","Monopoly Deal Card Game","2","5","15","15","15","2008","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monsters Menace America","17835","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877911","5.71521","5.97695","1.8418","5945","3496","thing","Monsters Menace America","2","4","90","90","90","2005","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877941","5.6931","5.87437","1.817","6376","102122","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Carcassonne","41010","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877892","6.22973","6.65361","1.1281","2096","10305","thing","My First Carcassonne","2","4","20","20","10","2009","2,3,4","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nuclear War","713","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860291","5.85128","6.2199","1.4469","4236","4534","thing","Nuclear War","2","6","60","60","60","1965","3,4,5,6","5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Oathsworn: Into the Deepwood","251661","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","110593263","7.72459","8.77588","3.6937","65","12771","thing","Oathsworn: Into the Deepwood","1","4","90","90","30","2022","1,2,3,4","2,4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"On Mars","184267","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","110593281","7.73914","8.16194","4.6263","59","22775","thing","On Mars","1","4","150","150","90","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Deck Dungeon","179275","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","52717563","6.64845","6.93322","2.0914","1005","27069","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Deck Dungeon: Forest of Shadows","224821","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","52717568","6.39716","7.07876","2.3333","1577","11539","thing","One Deck Dungeon: Forest of Shadows","1","2","45","45","30","2017","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Outlive","191051","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972780","6.64171","7.2627","3.0353","1020","8306","thing","Outlive","2","4","110","110","40","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Oxford Dilemma","5609","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877922","5.49119","5.17236","3","27285","159","thing","Oxford Dilemma","2","6","90","90","90","1998","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","20470475","7.40585","7.5152","2.3944","170","224161","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders","142423","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","21472457","6.25797","7.5494","2.6471","0","6725","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders","1","6","90","90","90","2013","1,2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 3: The Hook Mountain Massacre","144873","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","21472459","6.17687","7.59665","2.4808","0","5854","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 3: The Hook Mountain Massacre","1","6","90","90","90","2013","1,2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","133038","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","21472449","6.83451","7.15793","2.7178","706","19406","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck","139037","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","21472463","6.35518","7.57396","2.7179","0","6778","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck","1","6","90","90","90","2013","1,2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Puerto Rico","3076","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713432","7.75356","7.89898","3.2667","55","84729","thing","Puerto Rico","3","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy","28143","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546383","7.61815","7.73814","2.9922","94","73479","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Race for the Galaxy: The Gathering Storm","34499","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877969","7.58189","8.09083","2.9921","0","23152","thing","Race for the Galaxy: The Gathering Storm","1","5","60","60","60","2008","1,2,3,4,5","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Radlands","329082","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93641038","7.35839","7.75009","2.2633","207","27738","thing","Radlands","2","2","40","40","20","2021","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Reavers of Midgard","242684","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67268834","6.53032","7.31906","2.9143","1244","7103","thing","Reavers of Midgard","2","4","120","120","60","2019","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Reign of Cthulhu","192153","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","37200378","6.95517","7.35654","2.1637","551","21428","thing","Reign of Cthulhu","2","4","40","40","40","2016","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Res Arcana","262712","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","80778913","7.39188","7.61557","2.6565","180","34571","thing","Res Arcana","2","4","60","60","30","2019","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Return to Dark Tower","256680","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","93756192","7.31463","8.20355","2.6454","226","10663","thing","Return to Dark Tower","1","4","120","120","100","2022","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Return to Dark Tower: Alliances","298565","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","93816845","6.06544","8.39509","2.8571","0","4884","thing","Return to Dark Tower: Alliances","1","4","120","120","100","2022","1,2,3,4","4","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
